Имя товара;Категория;"Дополнительная
категория";Описание;Ключевики (SEO);Мета-Описание (SEO);"Картинки
123.jpg$Описание&
456.jpg$Описание2&";Видео;Инструкции;Поз.;AlsoBuy
34 A;Печи для саун;Печи без парогенератора;"
Загрузка до 15 кг. камней
Питание: 400 В 3N
Размер: 780 * 375 * 360
4,5 кВт 948700
6,0 кВт 908701
7,5 кВт 908702
9,0 кВт 908703";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, 34A, EOS, ЭОС;Электрическая печь для сауны EOS 34 А. Экономичный варинт для небольших саун;34_a.jpg$Электрическая печь для сауны EOS 34 A&;;34_a.pdf$Инструкция для электричсекой печи EOS 34A&;;
Thermat;Печи для саун;Печи без парогенератора;"Базовая модель для домашней финской (сухой) сауны с загрузкой до 15 кг камней. По истине классика немецкой инженерии. Подойдет для клиентов, которые ценят качество и минимализм. Модельный ряд рассчитан на использование в домашних саунах от 5 до 14 куб.метров. Рекомендуется для использования с пультами Econ D1, D2.
Подключение — 400 V 3N AC
Габариты — 780 x 375 x 360 мм
Загрузка до 15 кг камней
Настенное исполнение
4,5 кВт 944819
6,0 кВт 944820
7,5 кВт 944821
9,0 кВт 944822";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Thermat, EOS, ЭОС;Печь для сауны EOS Thermat. Купить у официального представителя завода EOS в России по тел. +7 495 66 55 192;thermat.jpg$Электрическая печь для сауны EOS Thermat&;;thermat.pdf$Инструкция для электричсекой печи EOS Thermat&;;
EURO;Печи для саун;Печи без парогенератора;"Для семейных и гостиничных саун. Внутренняя облицовка печи выполнена из алюминизированной стали, корзина для камней из нержавеющей стали. Корпус повышенной прочности изготовлен по трехкорпусной технологии. Клеммная коробка распологается на задней стороне печи. В основании печи предусмотрен поддон для воды. Настенное крепление для подвесного  монтажа в комплекте, ножки доступны в качестве опции. Наружный кожух - из полированной нержавеющей стали. Печь мощностью 12 кВт изготовлена полностью из нержавеющей стали. Специально сконструирована для использования в коммерческих объектах.
6,0 кВт нержавеющая сталь  907685
7,5 кВт нержавеющая сталь  907686
9,0 кВт нержавеющая сталь  907687
12,0 кВт нержавеющая сталь  908076
7,5 кВт антрацит  943751
9,0 кВт антрацит  943752
10,5 кВт антрацит  945185
Ножки для установки на пол  907110
";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, EURO EOS, ЭОС;Электрическая печь для сауны EOS EURO. Установка на полу и на стене. Подходит для домашних и коммерческих объектов;euro.jpg$Электрическая печь для сауны EOS EURO&;;euro.pdf$Инструкция для электричсекой печи EOS Thermat&;;
Mini;Печи для саун;Печи без парогенератора;"Печь, получившая название за компактный размер. Подходит для установки в самых компактных саунах: 3 - 5 кубических метров . Загрузка до 8 кг камней. Рекомендуется для использования с пультами Econ D1, Econ D2
Цвет — нержавеющая сталь, антрацит
Подключение — 230 V N AC 50 Hz
Габариты — 660 x 300 x 215 мм
Загрузка до 8 кг камней
Настенное исполнение
3,0 кВт нержавеющая сталь 942445
3,0 кВт антрацит 946028";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Mini, Мини печь, EOS, ЭОС;Миниатюрная электрическая печь для компактных домашних саун от 3 - 5 куб. метров EOS Mini. Два цвета корпуса: нержавеющая сталь и антрацит;mini.jpg$Электрическая печь для сауны EOS Mini.&;;mini_bi-o_mini.pdf$Инструкция для электричсекой печи EOS Mini.&;;
Filius;Печи для саун;Печи без парогенератора;"У вас домашняя сауна от 5 до 10 куб. метров и мало места для установки каменки? Тогда Filius это верный выбор! Толщина печи - 240 мм, а благодаря многослойной конструкции задняя стенка нисколько не нагревается, позволяя повесить печь вплотную к стене.
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 575 x 403 x 240 мм
Загрузка до 8 кг камней
Настенное исполнение
Рекомендуется для использования с пультами Econ D1 или Econ D2.
4,5 кВт 945031
6,0 кВт 945032
7,5 кВт 945033";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Filius, Мини печь, EOS, ЭОС;Компактная электрическая печь для установки в небольших саунах EOS Filius. ;filius.jpg$Электрическая печь для сауны EOS Filius&;;filius_bi-o_filius.pdf$Инструкция для электричсекой печи EOS Filius&;;
Filius Control;Печи для саун;Печи без парогенератора;"Электрическая печь для сауны со встроенным блоком управления. Настенная модель. Компактная печь для Финской сауны, новинка 2015 года. Глубина Filius всего 240 мм, несмотря на малые размеры, печь вмещает до 8 кг. камней.  Filius монтируется на стене сауны, и экономит, таким образом, пространство. Печь изготавливается на заводе в Германии, что гарантирует ее качество.
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 575 x 403 x 240 мм
Настенное исполнение
Единственная печь в модельном ряду EOS, для которой не требуется отдельный блок управления.
4,5 кВт 945031
6,0 кВт 945032
7,5 кВт 945033
";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Filius Control, Мини печь, EOS, ЭОС;Электрическая печь для небольших домашних саун со встроенной системой управления EOS Filius Control;filius_control.jpg$Электрическая печь для сауны EOS Filius Control&;;filius_control.pdf$Инструкция для электричсекой печи EOS Filius Control&;;
Thermo-Tec;Печи для саун;Печи без парогенератора;"Электрическая печь для сауны Thermo-Tec близка к Thermat, но в отличии от предыдущей модели, они существует в двух модификациях: для настенного монтажа (Termo-Tec) и для напольного (Termo-Tec S). Второе отличие - верхняя крышка печи, которая выглядит массивно, и исполнена в цвете антрацит.
Настенное исполнение
Подходит для домашних саун от 5 до 14 кубических метров.
Загрузка камней - до 15 кг.
Рекомендуется для использования с пультами Econ D1 или Econ D2.
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 780 x 375 x 360 мм
6,0 кВт 945688
7,5 кВт 945689
9,0 кВт 945690";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Thermo-Tec, Thermotec EOS, ЭОС;Электрическая печь для монтажа на стене сауны EOS Thermo-Tec позволит эффективно использовать пространство сауны.;thermotec.jpg$Электрическая печь для сауны EOS Thermo-Tec&;;thermotec.pdf$Инструкция для электричсекой печи EOS Thermo-Tec&;;
Thermo-Tec S;Печи для саун;Печи без парогенератора;"Электрическая печь для сауны Thermo-Tec S комплектуется ножками для установки на полу сауны. Подходит для домашних саун от 5 до 14 кубических метров.
Регулируемая по высоте корзина для камней вмещает до 15 кг.
Рекомендуется для использования с пультами Econ D1,  Econ D2, Econ D3.
Цвет — антрацит
Подключение — 400 V 3N AC
Габариты — 600 x 375 x 360 мм
6,0 кВт 945684
7,5 кВт 945685
9,0 кВт 945686";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Thermo-Tec S, Thermotec EOS, ЭОС;Электрическая печь для финских саун EOS Thermo-Tec S - сделано в Германии. ;thermotecs.jpg$Электрическая печь для сауны EOS Thermo-Tec S&;;thermotecs.pdf$Инструкция для электричсекой печи EOS Thermo-Tec S&;;
EURO-MAX;Печи для саун;Печи без парогенератора;"На родине, в Германии, и в Европе эта модель часто устанавливается в сауны отелей, а что и ее прозвали  ""Hotel Ofen"". Сауны при гостиницах, отличаются от именно коммерческих объектов меньшими размерами и эксплуатационной нагрузкой. Поэтому Euro-Max с модельным рядом 9 - 15 кВт, и загрузкой до 60 камней - идеально подходит для таких случаев. А в России домашние сауны очень часто встречаются и 10, и 14 куб.метров.
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 900 x 500 x 500 мм
Загрузка до 60 кг камней
Напольное исполнение
Рекомендуется для использования с пультами Econ D3 или Econ  D4  или Emotec D.
Мы рекомендуем использовать пульт управления Emotouch II+


9,0 кВт   942320
12,0 кВт 942321
15,0 кВт 943882";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Euro-Max,  EOS, ЭОС;Электрическая печь для небольших коммерческих, отельных, либо домашних саун EOS Euro-Max;euromax.jpg$Электрическая печь для сауны EOS EURO-MAX&;;euromax_bi-o_max.pdf$Инструкция для электричсекой печи EOS Euro-Max&;;
Germanius;Печи для саун;Печи без парогенератора;"В печи Germanius корпус из нержавеющей стали гармонично сочетается  антрацитовыми элементами по бокам и панелью из закаленного стекла в передней части. Благодаря этому создается эффект камина - при работе сквозь стекло видно свечение раскаленных докрасна тенов.

В России, когда строят дорогие сауны: с продуманным до мелочей дизайном, из необычных пород дерева, с нестандартными типами покрытий для стен, изящной цветной подсветкой, по непонятной причине экономят на электрической печке. Мы считаем, что если строить люксовую сауну, то она должна быть люксовой во всем.
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 918 x 618 x 510 мм
Загрузка до 60 кг камней
Напольное исполнение
Рекомендуем использовать с пультом EmoTouch II+.

12,0 кВт 943931
15,0 кВт 943932
18,0 кВт 9439313
Кронштейн для ограды печи 944356
";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Germanius, EOS, ЭОС;Эксклюзивная электрическая печь для сауны с имитацией горяцего пламени, EOS Germanius;euromax.jpg$Электрическая печь для сауны EOS Germanius;;germanius_bi-o_germanius.pdf$Инструкция для электричсекой печи EOS Germanius&;;
